"chainid","lastupdatedate","subchainid","storeid","bikoretno","storetype","chainname","subchainname","storename","address","city","zipcode","xmldocversion","lastupdatetime","latitude","longitude","address.full","chainname_en","provider"
7290725900003,"09/06/2015 17:24",0,33,0,1,"יינות ביתן מרכז הרשת","","33 כ-חנ בית שמש","יגאל אלון 1","בית שמש","9906201",NA,NA,31.7562899,34.9899373,"יגאל אלון 1,בית שמש","bitan","private"
7290725900003,"09/06/2015 17:24",0,34,0,1,"יינות ביתן מרכז הרשת","","34 כ-חנ רחובות","אופמהיימר 10","רחובות","7670110",NA,NA,31.9107588,34.8069406,"אופמהיימר 10,רחובות","bitan","private"
7290725900003,"09/06/2015 17:24",0,35,0,1,"יינות ביתן מרכז הרשת","","35 כ-חנ ירקונים","ירקונים 50","פתח תקווה","4927134",NA,NA,32.1031109,34.8982922,"ירקונים 50,פתח תקווה","bitan","private"
7290725900003,"09/06/2015 17:24",0,36,0,1,"יינות ביתן מרכז הרשת","","36 כ-חנ עפולה","קהילת ציון 1","עפולה","1830101",NA,NA,32.6075369,35.2915077,"קהילת ציון 1,עפולה","bitan","private"
7290725900003,"09/06/2015 17:24",0,37,0,1,"יינות ביתן מרכז הרשת","","37 כ-חנ אור יהודה","המפעל 13","אור יהודה","6022113",NA,NA,32.0343119,34.8498847,"המפעל 13,אור יהודה","bitan","private"
7290725900003,"09/06/2015 17:24",0,38,0,1,"יינות ביתן מרכז הרשת","","38 כ-חנ טבריה","יהודה הלוי 113","טבריה","1421636",NA,NA,32.7887659,35.5338213,"יהודה הלוי 113,טבריה","bitan","private"
7290725900003,"09/06/2015 17:24",0,39,0,1,"יינות ביתן מרכז הרשת","","39 כ-חנ נצרת","שכונת דיר אל חלאט","נצרת תחתית","1600000",NA,NA,32.7141886,35.2898174,"שכונת דיר אל חלאט,נצרת תחתית","bitan","private"
7290725900003,"09/06/2015 17:24",0,40,0,1,"יינות ביתן מרכז הרשת","","40 כ-חנ מודיעין","","","",NA,NA,31.904244,34.878207,",","bitan","private"
7290725900003,"09/06/2015 17:24",0,41,0,1,"יינות ביתן מרכז הרשת","","41 כ-חנ אור עקיבא","האילן 2","אור עקיבא","3060000",NA,NA,32.5193358,34.9216448,"האילן 2,אור עקיבא","bitan","private"
7290725900003,"09/06/2015 17:24",0,42,0,1,"יינות ביתן מרכז הרשת","","42 כ-חנ קריית אתא","ההסתדרות 247","קריית אתא","2620237",NA,NA,32.8115219,35.0707886,"ההסתדרות 247,קריית אתא","bitan","private"
7290725900003,"09/06/2015 17:24",0,43,0,1,"יינות ביתן מרכז הרשת","","43 כ-חנ נתיבות","בעלי המלאכה 11","נתיבות","85200",NA,NA,31.4177892,34.593072,"בעלי המלאכה 11,נתיבות","bitan","private"
7290725900003,"09/06/2015 17:24",0,44,0,1,"יינות ביתן מרכז הרשת","","44 כ-חנ מעלות","שלמה  שרירא 3","מעלות","2105209",NA,NA,33.020972,35.2774798,"שלמה  שרירא 3,מעלות","bitan","private"
7290725900003,"09/06/2015 17:24",0,45,0,1,"יינות ביתן מרכז הרשת","","45 כ-חנ כרמיאל","היוצרים 15","כרמיאל","2165241",NA,NA,32.9248955,35.3144539,"היוצרים 15,כרמיאל","bitan","private"
7290725900003,"09/06/2015 17:24",0,46,0,1,"יינות ביתן מרכז הרשת","","46 כ-חנ רמלה","קלאוזנר 10","רמלה","7243224",NA,NA,31.9229092,34.8779067,"קלאוזנר 10,רמלה","bitan","private"
7290725900003,"09/06/2015 17:24",0,47,0,1,"יינות ביתן מרכז הרשת","","47 כ-חנ תל אביב","נחלת יצחק 20","תל אביב","6744818",NA,NA,32.074587,34.798138,"נחלת יצחק 20,תל אביב","bitan","private"
7290725900003,"09/06/2015 17:24",0,48,0,1,"יינות ביתן מרכז הרשת","","48 כ-חנ אשדוד","גיא אוני 1","אשדוד","7764449",NA,NA,31.7857778,34.6612254,"גיא אוני 1,אשדוד","bitan","private"
7290725900003,"09/06/2015 17:24",0,49,0,1,"יינות ביתן מרכז הרשת","","49 כ-חנ טירת הכרמל","קרן היסוד 2","טירת הכרמל","3902621",NA,NA,32.7692046,34.9676331,"קרן היסוד 2,טירת הכרמל","bitan","private"
7290725900003,"09/06/2015 17:24",0,52,0,1,"יינות ביתן מרכז הרשת","","52 כ-חנ יבנה","המיסב 7","יבנה","8121307",NA,NA,31.8635589,34.7428099,"המיסב 7,יבנה","bitan","private"
7290725900003,"09/06/2015 17:24",0,53,0,1,"יינות ביתן מרכז הרשת","","53 כמ-חנ נהריה","הגדוד העברי 21","נהריה","2226908",NA,NA,33.0190295,35.0942113,"הגדוד העברי 21,נהריה","bitan","private"
7290725900003,"09/06/2015 17:24",0,55,0,1,"יינות ביתן מרכז הרשת","","55 כ-חנ דליית אל כרמל","דרך ראשית 672","דליית אל כרמל","3005600",NA,NA,32.6919355,35.057486,"דרך ראשית 672,דליית אל כרמל","bitan","private"
7290725900003,"09/06/2015 17:24",0,56,0,1,"יינות ביתן מרכז הרשת","","56 כ-חנ ערד","התעשיה 60","ערד","8909424",NA,NA,31.2472661,35.1999096,"התעשיה 60,ערד","bitan","private"
7290725900003,"09/06/2015 17:24",0,57,0,1,"יינות ביתן מרכז הרשת","","57 כ-חנ בית שאן","א.ת צפוני","בית שאן","1172504",NA,NA,32.497103,35.497336,"א.ת צפוני,בית שאן","bitan","private"
7290725900003,"09/06/2015 17:24",0,60,0,1,"יינות ביתן מרכז הרשת","","60 בסיטי אשדוד","","","",NA,NA,31.800003,34.641229,",","bitan","private"
7290725900003,"09/06/2015 17:24",0,61,0,1,"יינות ביתן מרכז הרשת","","61 בסיטי נתניה","הארי 12","נתניה","4252611",NA,NA,32.3122566,34.8568996,"הארי 12,נתניה","bitan","private"
7290725900003,"09/06/2015 17:24",0,62,0,1,"יינות ביתן מרכז הרשת","","62 בסיטי מודיעין","עמק החולה 76","מודיעין","7170399",NA,NA,31.8963542,35.011694,"עמק החולה 76,מודיעין","bitan","private"
7290725900003,"09/06/2015 17:24",0,63,0,1,"יינות ביתן מרכז הרשת","","63 בסיטי קרית ראשון","החלמונית 29","ראשון לציון","7542033",NA,NA,31.969688,34.7830275,"החלמונית 29,ראשון לציון","bitan","private"
7290725900003,"09/06/2015 17:24",0,64,0,1,"יינות ביתן מרכז הרשת","","64 הרצליה ליד הבית","רבי עקיבא 50","הרצליה","4642360",NA,NA,32.1537412,34.8500906,"רבי עקיבא 50,הרצליה","bitan","private"
7290725900003,"09/06/2015 17:24",0,65,0,1,"יינות ביתן מרכז הרשת","","65 בסיטי אשקלון","קיבוץ גלויות 5","אשקלון","7834104",NA,NA,31.6656884,34.5672266,"קיבוץ גלויות 5,אשקלון","bitan","private"
7290725900003,"09/06/2015 17:24",0,67,0,1,"יינות ביתן מרכז הרשת","","67 חולון ליד הבית","המרגנית 2","חולון","5845909",NA,NA,32.0095984,34.7788649,"המרגנית 2,חולון","bitan","private"
7290725900003,"09/06/2015 17:24",0,71,0,1,"יינות ביתן מרכז הרשת","","71 כ-חנ כוכב יאיר","דרך המרכז","4","4486400",NA,NA,32.22307,34.9987995,"דרך המרכז,4","bitan","private"
7290725900003,"09/06/2015 17:24",0,72,0,1,"יינות ביתן מרכז הרשת","","72 כ-חנ מגדל העמק","רמת יזראעל 11","מגדל העמק","38830",NA,NA,32.6741588,35.2388217,"רמת יזראעל 11,מגדל העמק","bitan","private"
7290725900003,"09/06/2015 17:24",0,73,0,1,"יינות ביתן מרכז הרשת","","73 כ-חנ עתלית","רחוב הרדוף","עתלית","3030000",NA,NA,32.691335,34.940421,"רחוב הרדוף,עתלית","bitan","private"
7290725900003,"09/06/2015 17:24",0,74,0,1,"יינות ביתן מרכז הרשת","","74 כ-חנ רמלה לוין","אבא אחימאיר 1","רמלה לוין","7228401",NA,NA,31.9394802,34.8724188,"אבא אחימאיר 1,רמלה לוין","bitan","private"
7290725900003,"09/06/2015 17:24",0,75,0,1,"יינות ביתן מרכז הרשת","","75 כ-חנ קרית ביאליק","שדרות חן 1","קריית ביאליק","2750901",NA,NA,32.861041,35.0953769,"שדרות חן 1,קריית ביאליק","bitan","private"
7290725900003,"09/06/2015 17:24",0,76,0,1,"יינות ביתן מרכז הרשת","","76 כ-חנ תל ציון","אהבת ציון פינת קהילת יעקב","תל ציון","9062200",NA,NA,31.88053,35.2400727,"אהבת ציון פינת קהילת יעקב,תל ציון","bitan","private"
7290725900003,"09/06/2015 17:24",0,77,0,1,"יינות ביתן מרכז הרשת","","77 כ-חנ כוכב יעקב","הכסף 1","כוכב יעקב","9062200",NA,NA,31.8814102,35.2447015,"הכסף 1,כוכב יעקב","bitan","private"
7290725900003,"09/06/2015 17:24",0,78,0,1,"יינות ביתן מרכז הרשת","","78 כ-חנ בית אל","הראיה 34","בית אל","9063100",NA,NA,31.9432942,35.2227103,"הראיה 34,בית אל","bitan","private"
7290725900003,"09/06/2015 17:24",0,79,0,1,"יינות ביתן מרכז הרשת","","79 כ-חנ פ``ת  לב סביונים","חיה פינשטיין 11","פתח תקווה","4956970",NA,NA,32.1003695,34.883975,"חיה פינשטיין 11,פתח תקווה","bitan","private"
7290725900003,"09/06/2015 17:24",0,80,0,1,"יינות ביתן מרכז הרשת","","80 כ-חנ טבעון","קק""ל 16","קרית טבעון","3608208",NA,NA,32.7107964,35.121818,"קק""ל 16,קרית טבעון","bitan","private"
7290725900003,"09/06/2015 17:24",0,81,0,1,"יינות ביתן מרכז הרשת","","81 כ-חנ ראשון מערב","השירה העברית 10","ראשון לציון","7573105",NA,NA,31.9776087,34.7695563,"השירה העברית 10,ראשון לציון","bitan","private"
7290725900003,"09/06/2015 17:24",0,82,0,1,"יינות ביתן מרכז הרשת","","82 כ-חנ נצרת עלית","היצירה 12","נצרת עלית","1700000",NA,NA,32.7149654,35.3360183,"היצירה 12,נצרת עלית","bitan","private"
7290725900003,"09/06/2015 17:24",0,83,0,1,"יינות ביתן מרכז הרשת","","83 כ-חנ צור יצחק","נחל קנה 9","צור יצחק","4580800",NA,NA,32.241228,34.9977193,"נחל קנה 9,צור יצחק","bitan","private"
7290725900003,"09/06/2015 17:24",0,84,0,1,"יינות ביתן מרכז הרשת","","84 כ-חנ מתן","הדר 84","מתן","4585800",NA,NA,32.1591929,34.9728828,"הדר 84,מתן","bitan","private"
7290725900003,"09/06/2015 17:24",0,90,0,1,"יינות ביתן מרכז הרשת","","90 ירושלים נווה יעקב","גדליה נוימן","6","9355506",NA,NA,31.8410862,35.2484406,"גדליה נוימן,6","bitan","private"
7290725900003,"09/06/2015 17:24",0,91,0,1,"יינות ביתן מרכז הרשת","","91 ירושלים ריינס","ריינס 6 שכונת קרית משה","ירושלים","9542731",NA,NA,31.784153,35.192678,"ריינס 6 שכונת קרית משה,ירושלים","bitan","private"
7290725900003,"09/06/2015 17:24",0,99,0,2,"יינות ביתן מרכז הרשת","","99 אתר אינטרנט מי סופר מרקט","www.ybitan.co.il","","0",NA,NA,NA,NA,"www.ybitan.co.il,","bitan","private"
7290725900003,"09/06/2015 17:24",0,101,0,1,"יינות ביתן מרכז הרשת","","101 טופ מרקט שלומציון","","","",NA,NA,31.828048,35.2326467,",","bitan","private"
7290725900003,"09/06/2015 17:24",0,102,0,1,"יינות ביתן מרכז הרשת","","102 טופ מרקט ת-מרכזית","","","",NA,NA,31.788598,35.202527,",","bitan","private"
7290058140886,"05/07/2015",NA,1,6,1,"רמי לוי שיווק השקמה",NA,"תלפיות","האומן 15, ירושלים","תלפיות","unknown",0,"20:05:00",31.7495351,35.2104532,"האומן 15, ירושלים,תלפיות","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,2,5,1,"רמי לוי שיווק השקמה",NA,"בזק מחסני מזון","יד חרוצים 18 ,תלפיות","בזק מחסני מזון","unknown",0,"20:05:00",31.7510596,35.2159843,"יד חרוצים 18 ,תלפיות,בזק מחסני מזון","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,3,4,1,"רמי לוי שיווק השקמה",NA,"רמות","דרך החורש 90 ,רמות","רמות","unknown",0,"20:05:00",32.702566,35.172172,"דרך החורש 90 ,רמות,רמות","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,5,2,1,"רמי לוי שיווק השקמה",NA,"רב מכר","הפרסה 3, ירושלים","רב מכר","unknown",0,"20:05:00",31.7509161,35.2102152,"הפרסה 3, ירושלים,רב מכר","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,6,1,1,"רמי לוי שיווק השקמה",NA,"מישור אדומים","איתם 1, מעלה אדומים","מישור אדומים","unknown",0,"20:05:00",31.7929525,35.3345321,"איתם 1, מעלה אדומים,מישור אדומים","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,8,9,1,"רמי לוי שיווק השקמה",NA,"שער בנימין","שער בנימין","שער בנימין","unknown",0,"20:05:00",32.3202684,34.8557654,"שער בנימין,שער בנימין","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,9,8,1,"רמי לוי שיווק השקמה",NA,"קסיטנה","באר טוביה","קסיטנה","unknown",0,"20:05:00",31.731421,34.755965,"באר טוביה,קסיטנה","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,10,4,1,"רמי לוי שיווק השקמה",NA,"מודיעין חדש","יהושוע חנקין 14, עפולה","עפולה","unknown",0,"20:05:00",32.6041918,35.2940811,"יהושוע חנקין 14, עפולה,עפולה","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,11,3,1,"רמי לוי שיווק השקמה",NA,"עפולה","החוזה מלובלין 2 ביתר עלית","ביתר עלית","unknown",0,"20:05:00",31.6996106,35.108179,"החוזה מלובלין 2 ביתר עלית,ביתר עלית","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,12,2,1,"רמי לוי שיווק השקמה",NA,"ביתר עלית","בית הדפוס 13, גבעת שאול","גבעת שאול","unknown",0,"20:05:00",31.7861472,35.187363,"בית הדפוס 13, גבעת שאול,גבעת שאול","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,13,1,1,"רמי לוי שיווק השקמה",NA,"גבעת שאול","צומת פוריה טבריה","טבריה","unknown",0,"20:05:00",32.795859,35.530973,"צומת פוריה טבריה,טבריה","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,14,0,1,"רמי לוי שיווק השקמה",NA,"טבריה","דרך בר יהודה נשר","נשר","unknown",0,"20:05:00",32.7749219,35.0428149,"דרך בר יהודה נשר,נשר","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,15,9,1,"רמי לוי שיווק השקמה",NA,"נשר","צומת שילת","מודיעין חדש","unknown",0,"20:05:00",31.9148868,35.0205212,"צומת שילת,מודיעין חדש","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,16,8,1,"רמי לוי שיווק השקמה",NA,"רמת גן  איילון","מבצע קדש 66 רמת גן","רמת גן  איילון","unknown",0,"20:05:00",32.1016683,34.8298488,"מבצע קדש 66 רמת גן,רמת גן  איילון","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,17,7,1,"רמי לוי שיווק השקמה",NA,"ראש העין","צומת קסם","ראש העין","unknown",0,"20:05:00",32.095838,34.952177,"צומת קסם,ראש העין","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,19,5,1,"רמי לוי שיווק השקמה",NA,"אדמרליטי","חלוצי התעשיה 73 חיפה","אדמרליטי","unknown",0,"20:05:00",32.8191073,35.0540507,"חלוצי התעשיה 73 חיפה,אדמרליטי","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,20,1,1,"רמי לוי שיווק השקמה",NA,"זכרון יעקב","קניון זכרון יעקב","זכרון יעקב","unknown",0,"20:05:00",32.571286,34.948114,"קניון זכרון יעקב,זכרון יעקב","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,22,9,1,"רמי לוי שיווק השקמה",NA,"כנפי נשרים","כנפי נשרים 26, גבעת שאול","כנפי נשרים","unknown",0,"20:05:00",31.7875371,35.1827787,"כנפי נשרים 26, גבעת שאול,כנפי נשרים","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,23,8,1,"רמי לוי שיווק השקמה",NA,"גוש עציון","צומת גוש עציון","גוש עציון","unknown",0,"20:05:00",31.646357,35.132512,"צומת גוש עציון,גוש עציון","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,24,7,1,"רמי לוי שיווק השקמה",NA,"נתניה","רח האורזים 2 נתניה","נתניה","unknown",0,"20:05:00",32.321458,34.853196,"רח האורזים 2 נתניה,נתניה","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,25,6,1,"רמי לוי שיווק השקמה",NA,"מודעין ישפרו","מתחם ישפרו סנטר, מודיעין","מודעין ישפרו","unknown",0,"20:05:00",31.8884272,34.9611837,"מתחם ישפרו סנטר, מודיעין,מודעין ישפרו","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,26,5,1,"רמי לוי שיווק השקמה",NA,"אשדוד","רח היהלומים אשדוד","אשדוד","unknown",0,"20:05:00",31.815582,34.660299,"רח היהלומים אשדוד,אשדוד","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,27,4,1,"רמי לוי שיווק השקמה",NA,"באר שבע","רח הל""ע קניון מול 7 באר שבע","באר שבע","unknown",0,"20:05:00",31.252973,34.791462,"רח הל""ע קניון מול 7 באר שבע,באר שבע","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,28,3,1,"רמי לוי שיווק השקמה",NA,"עכו","רח בולטימור 2 עכו","עכו","unknown",0,"20:05:00",32.8992151,35.086634,"רח בולטימור 2 עכו,עכו","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,29,2,1,"רמי לוי שיווק השקמה",NA,"פרדס חנה ביג","רח תדהר פרדס חנה","פרדס חנה ביג","unknown",0,"20:05:00",32.4906573,34.9749155,"רח תדהר פרדס חנה,פרדס חנה ביג","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,30,8,1,"רמי לוי שיווק השקמה",NA,"קדימה","רח הזרם 2 קדימה צורן","קדימה","unknown",0,"20:05:00",32.274961,34.920325,"רח הזרם 2 קדימה צורן,קדימה","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,31,7,1,"רמי לוי שיווק השקמה",NA,"נתיבות","בית הגדי נתיבות","נתיבות","unknown",0,"20:05:00",31.4300822,34.5844731,"בית הגדי נתיבות,נתיבות","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,32,6,1,"רמי לוי שיווק השקמה",NA,"נהריה","נהריה","נהריה","unknown",0,"20:05:00",33.0085361,35.0980514,"נהריה,נהריה","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,33,5,1,"רמי לוי שיווק השקמה",NA,"כפר סבא","רח גלגלי הפלדה 5 ","כפר סבא","unknown",0,"20:05:00",32.1728625,34.9267139,"רח גלגלי הפלדה 5 ,כפר סבא","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,34,4,1,"רמי לוי שיווק השקמה",NA,"פתח תקווה","רח הסיבים 37 פתח תקווה","פתח תקווה","unknown",0,"20:05:00",32.0871836,34.8565036,"רח הסיבים 37 פתח תקווה,פתח תקווה","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,35,3,1,"רמי לוי שיווק השקמה",NA,"אשקלון","רח הנפח אשקלון","אשקלון","unknown",0,"20:05:00",31.635733,34.552176,"רח הנפח אשקלון,אשקלון","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,36,2,1,"רמי לוי שיווק השקמה",NA,"כרמיאל","כרמיאל רחוב היוצרים 7","כרמיאל","unknown",0,"20:05:00",32.9234893,35.3086168,"כרמיאל רחוב היוצרים 7,כרמיאל","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,37,1,1,"רמי לוי שיווק השקמה",NA,"נתניה חדש","רח המחקר נתניה","נתניה חדש","unknown",0,"20:05:00",32.2914174,34.8630164,"רח המחקר נתניה,נתניה חדש","ramilevi","cerberus"
7290058140886,"05/07/2015",NA,38,0,1,"רמי לוי שיווק השקמה",NA,"קרית שמונה","איזור תעשיה צפוני קרית שמונה","קרית שמונה","unknown",0,"20:05:00",33.207933,35.570246,"איזור תעשיה צפוני קרית שמונה,קרית שמונה","ramilevi","cerberus"
7290103152017,"05/07/2015",NA,1,6,1,"אושר עד",NA,"מגדל העמק","האיצטדיון 11","מגדל העמק","unknown",0,"20:05:00",32.6695346,35.2369178,"האיצטדיון 11,מגדל העמק","osherad","cerberus"
7290103152017,"05/07/2015",NA,3,4,1,"אושר עד",NA,"גבעת שאול","בית הדפוס 29","ירושלים","unknown",0,"20:05:00",31.7853781,35.1834369,"בית הדפוס 29,ירושלים","osherad","cerberus"
7290103152017,"05/07/2015",NA,5,2,1,"אושר עד",NA,"קרית ביאליק","הנס מולר 6, צור שלום","קרית ביאליק","unknown",0,"20:05:00",32.8620622,35.0978254,"הנס מולר 6, צור שלום,קרית ביאליק","osherad","cerberus"
7290103152017,"05/07/2015",NA,6,1,1,"אושר עד",NA,"כנות","אדום 24 פארק התעשיות כנות","כנות","unknown",0,"20:05:00",31.817531,34.785101,"אדום 24 פארק התעשיות כנות,כנות","osherad","cerberus"
7290103152017,"05/07/2015",NA,9,8,1,"אושר עד",NA,"אשדוד","בעלי המלאכה 4","אשדוד","unknown",0,"20:05:00",31.815315,34.662847,"בעלי המלאכה 4,אשדוד","osherad","cerberus"
7290103152017,"05/07/2015",NA,10,4,1,"אושר עד",NA,"פתח תקווה - סגולה","unknown","פתח תקווה","unknown",0,"20:05:00",32.1040672,34.8942848,"unknown,פתח תקווה","osherad","cerberus"
7290103152017,"05/07/2015",NA,11,3,1,"אושר עד",NA,"בני ברק","הקישון 11","בני ברק","unknown",0,"20:05:00",32.0988219,34.8307818,"הקישון 11,בני ברק","osherad","cerberus"
7290103152017,"05/07/2015",NA,13,1,1,"אושר עד",NA,"באר שבע","הקוצר 15 אזור תעשיה עמק שרה","באר שבע","unknown",0,"20:05:00",31.239754,34.785934,"הקוצר 15 אזור תעשיה עמק שרה,באר שבע","osherad","cerberus"
7290103152017,"05/07/2015",NA,14,0,1,"אושר עד",NA,"חדרה","המסגר 22 אזה""ת הצפוני","חדרה","unknown",0,"20:05:00",32.449022,34.9139077,"המסגר 22 אזה""ת הצפוני,חדרה","osherad","cerberus"
7290103152017,"05/07/2015",NA,16,8,1,"אושר עד",NA,"בית שמש - גליל","unknown","בית שמש","unknown",0,"20:05:00",31.7478383,34.9907577,"unknown,בית שמש","osherad","cerberus"
